Indicator Category,Indicator,Year,Gender,Race/ Ethnicity,Value,Place
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,876.1,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,310.9,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,292.1,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,882,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,898.3,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2013,Both,White,4.3,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,292.8,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,170.2,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,579.1,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,594.5,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,19.3,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,17.1,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,22.1,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,19.2,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,17.5,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,22.3,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,16.5,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,14,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,20.8,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,36.5,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,35.3,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,Black,32.7,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,29.6,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,7.2,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,8,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,7.4,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2003-2012,Both,All,78,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2011,Both,All,60.9,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2013,Male,All,90.1,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2013,Female,All,36.6,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2013,Both,All,62.3,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2012,Male,All,96.4,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2012,Female,All,43.7,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2012,Both,All,68.7,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2011,Male,All,84.8,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2011,Both,Black,62.1,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2013,Both,Black,77.2,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2012,Both,Black,80.3,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2011,Both,Multiracial,280.5,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,50.8,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2013,Both,Multiracial,166.5,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2012,Both,Multiracial,251.1,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2011,Both,White,62,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2013,Both,White,55.1,"Atlanta (Fulton County), GA"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2012,Both,White,64.7,"Atlanta (Fulton County), GA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,27.3,"Atlanta (Fulton County), GA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,29.3,"Atlanta (Fulton County), GA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,26.1,"Atlanta (Fulton County), GA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,Black,35.4,"Atlanta (Fulton County), GA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,Black,37.7,"Atlanta (Fulton County), GA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,Black,40.7,"Atlanta (Fulton County), GA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,White,18.8,"Atlanta (Fulton County), GA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,White,20.2,"Atlanta (Fulton County), GA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,White,21.5,"Atlanta (Fulton County), GA"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,14.5,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,161.2,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,131.3,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,202.7,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,151.6,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,118.8,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,196.4,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,157.3,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,124.2,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,201.5,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,201.6,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,203.5,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,208.7,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,130.5,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,116.9,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,121.1,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Male,All,131.2,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Female,All,18.8,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,All,73.8,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2011,Both,All,81.9,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Both,All,72.5,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,9.6,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,15.8,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,5.8,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,10.7,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,4.5,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,11.8,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,8.1,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,13.6,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,6.2,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,19.4,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,22.2,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,17.9,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,2.7,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,1.5,"Atlanta (Fulton County), GA"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,2.6,"Atlanta (Fulton County), GA"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,8.8,"Atlanta (Fulton County), GA"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,15.7,"Atlanta (Fulton County), GA"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,10.6,"Atlanta (Fulton County), GA"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,17.8,"Atlanta (Fulton County), GA"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,9.9,"Atlanta (Fulton County), GA"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,15.7,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2010,Male,All,70.4,"Cleveland, OH"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,17.1,"Atlanta (Fulton County), GA"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,21,"Atlanta (Fulton County), GA"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,18,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2012,Both,All,5.5,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,All,7.3,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2013,Both,All,7,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,Asian/PI,6.5,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2012,Both,Black,7.5,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,Black,9.9,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2013,Both,Black,10.5,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2012,Both,Hispanic,3.9,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,Hispanic,3.2,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2013,Both,Hispanic,4.4,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,White,4.6,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,29.6,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,38.2,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,52.7,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,27.3,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,37.4,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,45.6,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,30.8,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,36.9,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,52.2,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,44.7,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,46.6,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,30.1,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,29.2,"Atlanta (Fulton County), GA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,32,"Atlanta (Fulton County), GA"
Demographics,Median Household Income (Dollars),2013,Both,All,46485,"Atlanta (Fulton County), GA"
Demographics,Median Household Income (Dollars),2012,Both,All,46466,"Atlanta (Fulton County), GA"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,6.5,"Atlanta (Fulton County), GA"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,10.2,"Atlanta (Fulton County), GA"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,7.3,"Atlanta (Fulton County), GA"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,4.4,"Atlanta (Fulton County), GA"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,10.5,"Atlanta (Fulton County), GA"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,6.8,"Atlanta (Fulton County), GA"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,11.4,"Atlanta (Fulton County), GA"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,8.5,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2010,Female,All,76.7,"Cleveland, OH"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,10.1,"Atlanta (Fulton County), GA"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,11.4,"Atlanta (Fulton County), GA"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,4.7,"Atlanta (Fulton County), GA"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,4.6,"Atlanta (Fulton County), GA"
Demographics,Percent 18+ High School Graduates,2013,Both,All,89.3,"Atlanta (Fulton County), GA"
Demographics,Percent 18+ High School Graduates,2012,Both,All,89,"Atlanta (Fulton County), GA"
Demographics,Percent Below 200% Poverty Level,2013,Both,All,41.5,"Atlanta (Fulton County), GA"
Demographics,Percent Below 200% Poverty Level,2012,Both,All,45.3,"Atlanta (Fulton County), GA"
Demographics,Percent Foreign Born,2013,Both,All,7.8,"Atlanta (Fulton County), GA"
Demographics,Percent Foreign Born,2012,Both,All,8.1,"Atlanta (Fulton County), GA"
Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,2011,Both,All,65.8,"Atlanta (Fulton County), GA"
Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,2011,Female,All,65.6,"Atlanta (Fulton County), GA"
Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,2011,Male,All,66.3,"Atlanta (Fulton County), GA"
Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,2012,Both,All,70,"Atlanta (Fulton County), GA"
Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,2013,Both,All,73.6,"Atlanta (Fulton County), GA"
Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,2011,Both,Black,72.4,"Atlanta (Fulton County), GA"
Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,2011,Both,White,69.8,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2011,Both,All,22.8,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2011,Male,All,17.9,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2013,Both,All,25.4,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2012,Male,All,16.6,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2012,Female,All,23.7,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2011,Female,All,29,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2013,Male,All,21.8,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2013,Female,All,28.7,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2012,Both,All,19.9,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2013,Both,Black,34.8,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2012,Both,Black,26.6,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2011,Both,Black,37.9,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2011,Both,White,9.7,"Atlanta (Fulton County), GA"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2012,Both,White,13.1,"Atlanta (Fulton County), GA"
