critic_reviews,duration,directorFb_likes,actor3Fb_likes,actor1Fb_likes,gross,movie_title,user_votes,cast_fb_likes,faceNumber_poster,user_reviews,budget,title_year,actor2Fb_likes,imdb_score,aspect_ratio,movieFb_likes
64,116,176,84,192,61355436,The Saint ,52136,475,0,184,68000000,1997,117,6.2,2.35,0
181,114,0,281,3000,60874615,Mission to Mars ,60467,4902,0,949,90000000,2000,933,5.6,2.35,0
240,96,107,350,11000,143618384,Rio ,165333,12071,0,186,90000000,2011,560,7,2.35,19000
93,132,0,957,49000,58220776,Bicentennial Man ,87785,55254,0,362,100000000,1999,1000,6.8,1.85,0
84,104,81,612,3000,47474112,Volcano ,58227,5062,0,181,90000000,1997,643,5.4,1.85,2000
66,111,79,2000,11000,42877165,The Devil's Own ,45602,26088,0,114,86000000,1997,11000,6.1,2.35,979
369,100,128,78,596,56114221,Fantastic Four ,110486,1261,3,695,120000000,2015,360,4.3,2.35,41000
166,129,468,183,919,37567440,Conan the Barbarian ,113065,2024,0,337,20000000,1982,691,6.9,2.35,0
201,144,2000,537,680,61644321,Cinderella Man ,148238,2523,0,529,88000000,2005,655,8,2.35,0
175,140,378,599,12000,120147445,Seabiscuit ,57661,13808,0,455,87000000,2003,947,7.3,2.35,0
114,113,101,848,22000,241688385,Twister ,144053,26239,0,395,92000000,1996,946,6.3,2.35,0
187,106,357,4000,23000,144512310,The Fast and the Furious ,272223,45327,2,988,38000000,2001,14000,6.7,2.35,14000
221,143,0,272,15000,233630478,Cast Away ,394317,15838,1,1051,90000000,2000,410,7.7,1.85,23000
206,108,750,971,49000,197992827,Happy Feet ,132501,70996,0,548,100000000,2006,20000,6.5,2.35,0
239,108,521,129,13000,176049130,The Bourne Supremacy ,348232,14161,1,806,75000000,2004,805,7.8,2.35,0
142,124,249,936,11000,172620724,Air Force One ,146134,23603,1,393,85000000,1997,10000,6.4,2.35,0
186,116,0,471,11000,183405771,Ocean's Eleven ,402645,13028,4,845,85000000,2001,1000,7.8,2.35,0
256,91,266,11000,12000,148313048,Hotel Transylvania ,164148,37142,2,168,85000000,2012,11000,7.1,1.85,28000
222,107,36,118,283,127706877,Enchanted ,142496,662,2,399,85000000,2007,142,7.1,2.35,0
298,115,79,820,18000,126149655,Safe House ,166693,36237,1,276,85000000,2012,16000,6.8,2.35,19000
84,100,36,439,2000,66941559,102 Dalmatians ,26413,4182,1,77,85000000,2000,795,4.8,1.85,372
236,104,420,535,2000,78009155,Tower Heist ,110073,3768,5,194,75000000,2011,906,6.2,2.35,0
157,138,278,213,14000,63224849,The Holiday ,182757,17423,3,483,85000000,2006,3000,6.9,1.85,19000
81,140,12000,619,10000,111544445,Enemy of the State ,188116,11951,4,415,90000000,1998,660,7.3,2.35,0
187,120,278,963,11000,112703470,It's Complicated ,69860,15226,2,214,85000000,2009,2000,6.6,1.85,0
238,122,0,11000,14000,117144465,Ocean's Thirteen ,256928,43499,3,288,85000000,2007,13000,6.9,2.35,0
107,83,28,624,4000,84303558,Open Season ,65270,6081,1,100,85000000,2006,650,6.2,1.85,863
459,139,168,1000,14000,150832203,Divergent ,341058,22226,2,713,85000000,2014,5000,6.7,2.35,49000
187,131,218,29,5000,51396781,Enemy at the Gates ,188887,5103,1,662,68000000,2001,35,7.6,2.35,0
151,104,532,557,12000,47592825,The Rundown ,82731,16930,1,255,85000000,2003,3000,6.7,2.35,0
80,130,323,330,670,50016394,Last Action Hero ,106528,2407,1,257,70000000,1993,442,6.2,2.35,0
229,145,252,210,879,57010853,Memoirs of a Geisha ,119286,2380,1,548,85000000,2005,691,7.3,2.35,0
158,104,681,159,584,62494975,The Fast and the Furious: Tokyo Drift ,179500,1235,5,378,85000000,2006,227,6,2.35,0
98,178,102,551,12000,44606335,Meet Joe Black ,169023,23950,0,703,90000000,1998,11000,7.1,1.85,10000
135,108,99,172,672,40048332,Collateral Damage ,61417,1460,1,339,85000000,2002,174,5.5,1.85,941
382,106,763,809,8000,64933670,Mirror Mirror ,70838,11454,1,208,85000000,2012,886,5.6,1.85,18000
393,112,1000,719,10000,31494270,Scott Pilgrim vs. the World ,273921,12687,0,522,60000000,2010,1000,7.5,1.85,36000
149,135,36,106,894,31111260,The Core ,77029,1439,0,466,60000000,2003,345,5.4,2.35,0
94,109,88,571,611,123307945,Nutty Professor II: The Klumps ,39391,2818,1,171,65000000,2000,592,4.3,1.85,374
138,86,67,271,4000,153288182,Scooby-Doo ,71424,6355,3,521,84000000,2002,2000,4.9,1.85,0
173,107,153,233,11000,137340146,Click ,246492,12700,1,685,70000000,2006,1000,6.4,1.85,7000
91,82,62,615,975,43575716,Cats & Dogs: The Revenge of Kitty Galore ,10233,3326,0,63,85000000,2010,760,4.3,1.85,0
238,88,218,521,17000,80170146,Jumper ,243053,21863,0,488,85000000,2008,4000,6.1,2.35,0
345,120,0,160,3000,75754670,Hellboy II: The Golden Army ,208422,3632,0,342,85000000,2008,169,7,1.85,3000
377,162,21000,495,21000,33048353,Zodiac ,301279,36928,0,589,65000000,2007,15000,7.7,2.35,12000
170,123,55,956,3000,34543701,The 6th Day ,100001,5839,1,289,82000000,2000,975,5.9,2.35,0
191,101,293,1000,11000,242589580,Bruce Almighty ,296904,21276,1,604,81000000,2003,7000,6.7,1.85,0
424,113,13000,5000,26000,102981571,The Expendables ,270226,46355,9,741,80000000,2010,13000,6.5,2.35,57000
154,110,0,898,10000,180965237,Mission: Impossible ,300542,12760,0,378,80000000,1996,1000,7.1,2.35,0
673,142,378,575,34000,407999255,The Hunger Games ,701607,49942,0,1959,78000000,2012,14000,7.3,2.35,140000
383,102,480,461,14000,254455986,The Hangover Part II ,375879,16143,0,402,80000000,2011,670,6.5,2.35,56000
153,126,13000,390,920,162831698,Batman Returns ,215255,2899,0,610,80000000,1992,811,7,1.85,0
166,83,12,925,13000,155019340,Over the Hedge ,127345,22813,1,250,80000000,2006,7000,6.8,1.85,0
180,85,255,443,1000,145771527,Lilo & Stitch ,117212,3112,0,367,80000000,2002,533,7.2,1.66,0
125,120,75,3000,11000,140459099,Deep Impact ,135601,22750,0,493,75000000,1998,4000,6.1,2.35,0
234,116,23,110,13000,53215979,RED 2 ,125036,25220,7,205,84000000,2013,12000,6.7,2.35,22000
134,113,88,421,11000,158115031,The Longest Yard ,130070,13693,11,316,82000000,2005,437,6.4,2.35,0
91,87,31,733,1000,133103929,Alvin and the Chipmunks: Chipwrecked ,22838,4073,0,56,75000000,2011,1000,4.4,1.85,0
139,101,221,11000,12000,133668525,Grown Ups 2 ,107817,39269,4,255,80000000,2013,11000,5.4,1.85,14000
265,110,88,11000,13000,130313314,Get Smart ,168172,44798,1,380,80000000,2008,12000,6.5,1.85,0
145,128,278,343,18000,124590960,Something's Gotta Give ,91092,22679,1,402,80000000,2003,4000,6.7,1.85,0
490,138,17000,163,29000,127968405,Shutter Island ,786092,29585,0,964,80000000,2010,223,8.1,2.35,53000
163,91,77,208,1000,128200012,Robots ,103022,1804,1,269,75000000,2005,311,6.3,1.85,0
155,138,610,805,12000,112225777,Face/Off ,283967,17087,0,535,80000000,1997,1000,7.3,2.35,11000
144,99,163,495,11000,109993847,Bedtime Stories ,72326,12831,0,116,80000000,2008,869,6.1,2.35,0
226,117,0,818,15000,104054514,Road to Perdition ,200359,16828,0,1009,80000000,2002,1000,7.7,2.35,0
204,117,221,503,11000,103028109,Just Go with It ,172878,16325,1,203,80000000,2011,3000,6.4,1.85,19000
139,123,165,744,12000,101087161,Con Air ,225282,15362,6,339,75000000,1997,878,6.8,2.35,0
215,118,154,915,3000,101111837,Eagle Eye ,150764,5637,3,318,80000000,2008,982,6.6,2.35,0
198,154,333,16000,22000,95632614,Cold Mountain ,118483,61110,3,674,79000000,2003,20000,7.2,2.35,0
325,118,117,10000,18000,94822707,The Book of Eli ,227072,44797,0,560,80000000,2010,15000,6.9,2.35,20000
53,90,10,159,49000,92969824,Flubber ,63625,50005,1,64,80000000,1997,570,5.2,1.85,0
167,113,101,913,14000,91188905,The Haunting ,58184,17786,0,805,80000000,1999,960,4.9,2.35,0
46,88,30,366,13000,90443603,Space Jam ,112167,15001,1,123,80000000,1996,967,6.3,1.77,0
147,93,189,38,1000,82226474,The Pink Panther ,65499,1267,0,424,65000000,2006,177,5.6,1.85,0
276,104,301,71,18000,79363785,The Day the Earth Stood Still ,139423,22194,0,698,80000000,2008,4000,5.5,2.35,0
80,135,503,67,8000,76081498,Conspiracy Theory ,76099,8355,1,162,75000000,1997,137,6.7,2.35,0
406,134,452,697,11000,85707116,Fury ,303185,20411,4,701,68000000,2014,8000,7.6,2.35,82000
97,98,425,397,11000,74329966,Six Days Seven Nights ,60910,12729,2,164,70000000,1998,643,5.7,2.35,0
143,80,40,375,3000,100169068,Yogi Bear ,16385,4394,0,100,80000000,2010,642,4.6,1.85,0
106,83,21,495,13000,73215310,Spirit: Stallion of the Cimarron ,44143,14261,0,216,80000000,2002,503,7,2.35,4000
178,102,153,269,3000,80360866,Zookeeper ,44662,5392,1,127,80000000,2011,1000,5.2,2.35,0
102,130,81,427,10000,69102910,Lost in Space ,58402,12186,0,370,80000000,1998,882,5.1,2.35,0
209,129,438,502,18000,65948711,The Manchurian Candidate ,86422,20056,1,363,80000000,2004,1000,6.6,1.85,0
152,89,266,859,12000,169692572,Hotel Transylvania 2 ,56501,26839,0,97,80000000,2015,11000,6.7,1.85,16000
129,74,11,62,340,60507228,Fantasia 2000 ,27543,814,0,186,80000000,1999,243,7.3,1.78,607
124,96,25,102,891,56684819,The Time Machine ,103787,1919,0,615,80000000,2002,639,5.9,2.35,3000
35,114,31,372,9000,50628009,Mighty Joe Young ,22955,10731,0,88,90000000,1998,496,5.6,1.85,0
166,99,57,820,20000,69772969,Swordfish ,155532,25942,4,543,80000000,2001,3000,6.5,2.35,0
121,113,25,129,49000,55350897,What Dreams May Come ,83560,49631,1,619,85000000,1998,448,7,2.35,32000
87,90,65,658,11000,39442871,Little Nicky ,80639,25190,0,237,80000000,2000,11000,5.3,1.85,0
233,118,0,871,13000,37899638,The Brothers Grimm ,98472,27114,2,492,88000000,2005,13000,5.9,1.85,0
132,106,13000,733,20000,37754208,Mars Attacks! ,172217,22590,3,405,70000000,1996,770,6.3,2.35,0
258,89,84,1000,13000,38542418,Surrogates ,151424,18132,5,252,80000000,2009,1000,6.3,2.35,0
162,145,79,183,981,34566746,Thirteen Days ,45231,1825,1,315,80000000,2000,274,7.3,1.85,0
61,114,357,366,13000,32885565,Daylight ,53132,25126,0,101,80000000,1996,10000,5.8,1.85,0
113,87,43,210,882,36073232,Walking with Dinosaurs 3D ,8913,1971,0,66,80000000,2013,396,5.2,2.35,0
174,119,64,41,743,21471685,Battlefield Earth ,65464,971,0,1308,44000000,2000,117,2.4,2.35,0
205,118,252,30,529,19673424,Nine ,37446,619,4,232,80000000,2009,48,5.8,2.35,0
123,116,503,982,23000,19480739,Timeline ,53057,43887,0,457,80000000,2003,18000,5.6,2.35,0
79,177,0,582,766,17593391,The Postman ,56403,4346,1,376,80000000,1997,674,6,2.35,0
202,106,42,612,14000,27356090,The Last Witch Hunter ,58752,16922,0,117,90000000,2015,788,6,2.35,21000
145,106,14,0,2,17473245,Red Planet ,47612,2,1,348,70000000,2000,0,5.7,2.35,995
205,135,2000,535,1000,170708996,A Beautiful Mind ,610568,2827,0,1171,58000000,2001,592,8.2,1.85,29000
186,73,28,847,2000,422783777,The Lion King ,644348,6458,0,656,45000000,1994,886,8.5,1.66,17000
178,94,62,722,14000,103812241,Journey 2: The Mysterious Island ,67296,27842,3,133,79000000,2012,12000,5.8,1.85,0
169,95,18,18,622,119793567,Cloudy with a Chance of Meatballs 2 ,64387,848,0,85,78000000,2013,161,6.5,2.35,15000
140,136,394,1000,24000,67286731,Hidalgo ,67856,36925,1,345,100000000,2004,10000,6.7,2.35,0
156,91,221,553,14000,74158157,Jack and Jill ,60370,27405,2,264,79000000,2011,11000,3.4,1.85,0
150,107,309,771,23000,127083765,2 Fast 2 Furious ,191912,25296,5,370,76000000,2003,787,5.9,2.35,0
232,99,101,327,1000,15071514,The Invasion ,65037,2323,2,273,80000000,2007,422,5.9,1.85,0
49,92,5,924,22000,26000610,The Adventures of Rocky & Bullwinkle ,16611,28050,0,197,76000000,2000,1000,4.1,1.85,413
202,110,45,845,1000,66462600,The League of Extraordinary Gentlemen ,141533,4714,3,786,78000000,2003,872,5.8,2.35,0
306,98,275,1000,7000,368049635,Despicable Me 2 ,286877,11905,0,284,76000000,2013,2000,7.5,1.85,56000
185,154,776,933,10000,306124059,Independence Day ,430055,16785,0,856,75000000,1996,2000,6.9,2.35,16000
177,129,14000,227,610,229074524,The Lost World: Jurassic Park ,278362,1635,0,552,73000000,1997,506,6.5,1.85,0
181,86,35,179,851,193136719,Madagascar ,266636,1777,0,385,75000000,2005,436,6.9,1.85,0
372,109,0,18,16000,35286428,Children of Men ,361767,16479,0,1206,76000000,2006,430,7.9,1.85,17000
290,104,0,505,20000,157299717,X-Men ,452928,21397,0,1401,75000000,2000,764,7.4,2.35,0
316,110,335,988,11000,134568845,Wanted ,299852,25763,0,713,75000000,2008,11000,6.7,2.35,0
122,136,0,904,12000,134006721,The Rock ,259492,15999,1,415,75000000,1996,2000,7.4,2.35,51000
164,115,107,241,835,195329763,Ice Age: The Meltdown ,194249,1815,0,253,80000000,2006,590,6.9,1.85,0
147,99,88,328,11000,120776832,50 First Dates ,266103,12952,2,456,75000000,2004,427,6.8,2.35,11000
219,117,163,260,719,118823091,Hairspray ,98693,1673,9,401,75000000,2007,339,6.7,2.35,0
167,125,212,394,613,41814863,Exorcist: The Beginning ,28635,1970,0,308,50000000,2004,422,5.1,2,893
151,103,189,766,3000,7948159,Punisher: War Zone ,48999,6563,1,280,35000000,2008,967,6,2.35,0
63,83,12,690,2000,11631245,Zoom ,15015,5022,5,113,35000000,2006,826,4.2,1.85,494
335,123,0,6,23000,10137502,The Walk ,77394,23031,0,195,35000000,2015,22,7.4,2.35,24000
24,101,31,448,690,6448817,Warriors of Virtue ,2189,1993,0,31,35000000,1997,457,4.6,2.35,0
147,117,0,567,883,7458269,A Good Year ,70698,3611,1,196,35000000,2006,883,6.9,2.35,9000
10,114,503,697,2000,4651977,Radio Flyer ,10410,4334,3,71,35000000,1992,864,6.9,2.35,892
12,330,138,672,848,4496583,"Blood In, Blood Out ",23181,3227,2,129,35000000,1993,674,8,1.66,6000
95,148,0,0,3,630779,Ride with the Devil ,11101,5,0,159,35000000,1999,2,6.8,2.35,633
297,113,47,129,988,102413606,The Maze Runner ,310903,1783,0,524,34000000,2014,149,6.8,2.35,38000
90,91,31,141,1000,10214013,Unfinished Business ,23072,1564,2,89,35000000,2015,249,5.4,2.35,0
56,139,17000,94,554,32000000,The Age of Innocence ,36267,1068,3,150,30000000,1993,382,7.2,2.35,0
274,96,0,1000,20000,10139254,The Fountain ,190990,24640,0,915,35000000,2006,1000,7.3,1.85,23000
68,102,3,239,372,11227940,Chill Factor ,8367,1274,0,94,34000000,1999,248,5.2,2.35,120
98,96,165,566,12000,183125,Stolen ,36914,14978,1,86,35000000,2012,774,5.5,2.35,0
117,128,88,954,989,37432299,The Longest Ride ,50041,3386,0,116,34000000,2015,970,7.1,2.35,23000
107,109,7,1000,40000,10654581,The Astronaut's Wife ,45497,52621,0,260,34000000,1999,9000,5.3,1.85,1000
52,114,46,292,818,6543194,I Dreamed of Africa ,3740,1778,1,61,34000000,2000,649,5.6,2.35,314
135,105,125,2000,18000,13101142,Playing for Keeps ,23916,23122,5,50,35000000,2012,2000,5.7,2.35,0
81,138,0,574,10000,141340178,A Few Good Men ,181879,14619,0,319,40000000,1992,2000,7.6,2.35,0
107,101,43,655,2000,51758599,Exit Wounds ,27580,5942,0,232,33000000,2001,1000,5.5,2.35,742
100,99,67,330,826,117559438,Big Momma's House ,66941,1790,1,148,30000000,2000,436,5.1,1.85,1000
195,89,21,48,614,21426805,The Darkest Hour ,49312,843,0,211,30000000,2011,150,4.9,2.35,0
121,99,35,433,3000,35057332,Step Up Revolution ,45394,4863,0,72,33000000,2012,594,6.5,2.35,19000
103,97,10,178,18000,28927720,The Watcher ,22220,18688,0,181,33000000,2000,223,5.3,1.85,463
192,140,36,336,669,33682273,The Punisher ,124242,2114,1,622,33000000,2004,403,6.5,2.35,4000
90,118,41,577,722,4280577,Goal! The Dream Begins ,50919,2859,0,114,10000000,2005,580,6.8,2.35,0
258,94,132,317,26000,17120019,Safe ,83097,27759,2,134,30000000,2012,828,6.5,2.35,12000
56,124,179,551,11000,8406264,Pushing Tin ,24826,13093,3,175,38000000,1999,617,6,2.35,783
197,134,37,504,11000,309125409,Star Wars: Episode VI - Return of the Jedi ,681857,13649,0,647,32500000,1983,1000,8.4,2.35,14000
299,124,335,50,14000,34180954,The Reader ,189812,14504,0,370,32000000,2008,388,7.6,1.85,15000
152,97,4000,8000,22000,173381405,Elf ,147597,43354,1,395,33000000,2003,11000,6.9,1.85,21000
53,123,226,796,3000,104632573,Phenomenon ,63839,5975,1,118,32000000,1996,941,6.4,2.35,0
88,101,503,1000,13000,60328558,Scrooged ,61396,18734,1,159,32000000,1988,1000,7,1.85,11000
371,131,176,460,722,169076745,Bridesmaids ,218711,3229,6,485,32500000,2011,655,6.8,2.35,27000
418,107,133,9000,17000,101470202,This Is the End ,310540,38751,6,669,32000000,2013,11000,6.7,2.35,97000
131,103,9,573,826,50041732,Stigmata ,54390,3004,0,398,29000000,1999,724,6.2,2.35,0
98,129,88,975,22000,48814909,Men of Honor ,89424,36069,0,224,32000000,2000,9000,7.2,2.35,0
119,107,34,1000,23000,57744720,Takers ,46961,31529,5,132,20000000,2010,4000,6.2,2.35,0
133,89,16,2000,49000,21784432,The Big Wedding ,37493,74181,8,108,35000000,2013,22000,5.6,2.35,0
88,113,14,534,918,37911876,"Big Mommas: Like Father, Like Son ",19671,3500,2,47,32000000,2011,845,4.4,2.35,0
522,93,0,355,15000,54696902,Source Code ,379462,16034,3,571,32000000,2011,491,7.5,1.85,56000
43,120,155,240,344,36733909,Alive ,38949,2054,3,112,32000000,1993,242,7.1,1.85,0
224,98,541,897,8000,35063732,The Number 23 ,164608,10938,1,383,32000000,2007,912,6.4,2.35,10000
75,98,61,83,649,32701088,Dreamer: Inspired by a True Story ,10018,1400,1,108,32000000,2005,579,6.9,2.35,0
441,96,0,882,10000,31493782,A History of Violence ,186606,12754,1,1125,32000000,2005,917,7.5,1.85,0
163,121,17000,245,12000,16640210,Bringing Out the Dead ,53028,13040,0,382,55000000,1999,368,6.8,2.35,0
197,119,238,447,1000,13763130,Repo Men ,87768,2925,0,187,32000000,2010,561,6.3,2.35,12000
15,110,278,179,3000,4357000,Bogus ,5176,3864,3,30,30000000,1996,359,5.3,1.85,350
260,100,35,7000,12000,22525921,The Incredible Burt Wonderstone ,60596,32094,4,158,30000000,2013,10000,5.9,2.35,13000
18,75,10,826,3000,3562749,Cats Don't Dance ,5600,7394,0,49,32000000,1997,2000,6.9,1.33,643
70,132,0,876,13000,2899970,Cradle Will Rock ,8039,16878,2,161,32000000,1999,898,6.9,2.35,625
183,105,0,308,845,1304837,The Good German ,21481,2355,2,175,32000000,2006,552,6.1,1.66,559
261,289,0,3000,11000,78800000,Apocalypse Now ,450676,25313,1,983,31500000,1979,10000,8.5,2.35,19000
167,102,8,472,839,17797316,Going the Distance ,50523,2961,0,113,32000000,2010,730,6.3,2.35,0
42,143,65,320,975,82528097,Mr. Holland's Opus ,30230,2223,1,154,6500000,1995,345,7.3,2.35,0
66,161,521,184,11000,87100000,Out of Africa ,52339,12518,0,200,31000000,1985,920,7.2,1.85,0
449,138,0,874,18000,93749203,Flight ,264047,20952,0,491,31000000,2012,984,7.3,2.35,64000
536,99,0,670,13000,59073773,The Grand Budapest Hotel ,475518,15082,0,644,25000000,2014,1000,8.1,1.37,149000
135,101,96,442,12000,24185781,Hearts in Atlantis ,30339,13811,1,268,31000000,2001,495,6.9,2.35,0
74,103,155,125,687,53133888,Arachnophobia ,50389,1440,0,136,31000000,1990,151,6.3,1.85,0
168,118,40,617,2000,44983704,Frequency ,81866,4045,0,510,31000000,2000,702,7.3,2.35,0
464,116,176,322,783,118099659,Ghostbusters ,69790,2097,4,1211,144000000,2016,370,5.5,2.35,62000
204,99,0,816,26000,58879132,Vacation ,66123,40312,4,219,31000000,2015,12000,6.1,2.35,28000
96,105,188,482,848,72077000,Get Shorty ,62986,3439,4,150,30250000,1995,808,6.9,1.85,0
223,113,252,90,539,170684505,Chicago ,172080,813,0,1017,45000000,2002,151,7.2,1.85,0
112,93,221,781,12000,163479795,Big Daddy ,161858,26760,0,289,34200000,1999,11000,6.4,1.85,0
