Player,Number_seasons,Games_played,At_bats,Runs,Hits,Doubles,Triples,Home_runs,RBIs,Walks,Strikeouts,Batting_average,On_base_pct,Slugging_pct,Fielding_ave,Position
JIMMY_SLAGLE,10,1298,4996,779,1340,124,56,2,344,619,0,0.268,0.352,0.317,0.95,Outfield
HARRY_HOOPER,17,2309,8785,1429,2466,389,160,75,817,1136,412,0.281,0.368,0.387,0.966,Outfield
RICH_GEDMAN,13,1033,3159,331,795,176,12,88,382,236,509,0.252,0.307,0.399,0.984,Catcher
SNUFFY_STIRNWEISS,10,1028,3695,604,989,157,68,29,281,541,447,0.268,0.362,0.371,0.98,Second_base
ED_KIRKPATRICK,16,1311,3467,411,824,143,18,85,424,456,518,0.238,0.33,0.363,0.989,Outfield
CHARLIE_GRIMM,20,2166,7917,908,2299,394,108,79,1078,578,410,0.29,0.341,0.397,0.993,First_base
DEL_RICE,17,1309,3826,342,908,177,20,79,441,382,522,0.237,0.312,0.356,0.987,Catcher
ROY_WHITE,15,1881,6650,964,1803,300,51,160,758,934,708,0.271,0.363,0.404,0.988,Outfield
RANDY_HUNDLEY,14,1061,3442,311,813,118,13,82,381,271,565,0.236,0.294,0.35,0.99,Catcher
SOLLY_HOFMAN,14,1194,4072,554,1095,162,60,19,495,421,171,0.269,0.339,0.352,0.967,Outfield
KEN_HENDERSON,16,1444,4553,595,1168,216,26,122,576,589,763,0.257,0.346,0.396,0.977,Outfield
FRANK_BOLLING,12,1540,5562,692,1415,221,40,106,556,462,558,0.254,0.315,0.366,0.982,Second_base
JOHNNY_LOGAN,13,1503,5244,651,1407,216,41,93,547,451,472,0.268,0.331,0.378,0.965,Shortstop
LES_MANN,16,1498,4716,677,1332,203,106,44,503,324,464,0.282,0.332,0.398,0.966,Outfield
ORLANDO_CEPEDA,17,2124,7927,1131,2351,417,27,379,1365,588,1169,0.297,0.353,0.499,0.99,First_base
DUKE_SNIDER,18,2143,7161,1259,2116,358,85,407,1333,971,1237,0.295,0.381,0.54,0.985,Outfield
SAM_WEST,16,1753,6148,934,1838,347,101,75,838,696,540,0.299,0.371,0.425,0.983,Outfield
SILVER_FLINT,12,743,2852,376,682,129,34,21,294,53,461,0.239,0.253,0.33,0.913,Catcher
JOHN_BRIGGS,12,1366,4117,601,1041,170,43,139,507,663,785,0.253,0.357,0.416,0.973,Outfield
EARL_AVERILL,13,1668,6353,1224,2019,401,128,238,1164,774,518,0.318,0.395,0.534,0.97,Outfield
LEO_CARDENAS,16,1941,6707,662,1725,285,49,118,689,522,1135,0.257,0.313,0.367,0.971,Shortstop
JERRY_WHITE,11,646,1196,155,303,50,9,21,109,148,174,0.253,0.339,0.363,0.974,Outfield
JACK_BURDOCK,14,960,3873,578,944,131,40,15,390,128,305,0.244,0.27,0.31,0.912,Second_base
ZACK_TAYLOR,16,918,2865,258,748,113,28,9,311,161,192,0.261,0.304,0.329,0.977,Catcher
EVERETT_SCOTT,13,1654,5837,552,1455,208,58,20,551,243,282,0.249,0.281,0.315,0.965,Shortstop
WALKER_COOPER,18,1473,4702,573,1341,240,40,173,812,309,357,0.285,0.332,0.464,0.977,Catcher
JIMMY_JOHNSTON,13,1377,5070,754,1493,185,75,22,410,391,246,0.294,0.347,0.374,0.926,Third_base
CANDY_LaCHANCE,12,1263,4919,678,1377,197,86,39,690,219,124,0.28,0.318,0.379,0.984,First_base
JOE_TORRE,18,2209,7874,996,2342,344,59,252,1185,779,1094,0.297,0.367,0.452,0.99,Catcher
JIM_DELSING,10,822,2461,322,627,112,21,40,286,299,251,0.255,0.34,0.366,0.989,Outfield
DUSTY_BAKER,19,2039,7117,964,1981,320,23,242,1013,762,926,0.278,0.351,0.432,0.985,Outfield
OYSTER_BURNS,11,1187,4637,869,1389,224,129,65,673,464,182,0.3,0.368,0.446,0.92,Outfield
HAL_LANIER,10,1196,3703,297,843,111,20,8,273,136,436,0.228,0.256,0.275,0.971,Shortstop
FRANKIE_PYTLAK,12,795,2399,316,677,100,36,7,272,247,97,0.282,0.355,0.363,0.991,Catcher
JIMMY_DYKES,22,2282,8046,1108,2256,453,90,108,1071,958,849,0.28,0.365,0.399,0.952,Third_base
OTTO_MILLER,13,927,2836,229,695,97,33,5,231,104,301,0.245,0.275,0.308,0.973,Catcher
DIXIE_WALKER,18,1905,6740,1037,2064,376,96,105,1023,817,325,0.306,0.383,0.437,0.906,Outfield
FRANKIE_CROSETTI,17,1683,6277,1006,1541,260,65,98,649,792,799,0.245,0.341,0.354,0.949,Shortstop
RANCE_MULLINIKS,16,1325,3569,445,972,226,17,73,435,460,555,0.272,0.357,0.407,0.961,Third_base
JOHN_BOCCABELLA,12,551,1462,117,320,56,5,26,148,96,246,0.219,0.269,0.317,0.984,Catcher
IVAN_DeJESUS,15,1371,4602,595,1167,175,48,21,324,466,664,0.254,0.324,0.326,0.963,Shortstop
SAM_LESLIE,10,822,2460,311,749,123,28,36,389,216,118,0.304,0.366,0.421,0.989,First_base
JACKIE_HAYES,14,1091,4040,494,1069,196,33,20,493,309,241,0.265,0.318,0.344,0.976,Second_base
RUBE_WALKER,11,608,1585,114,360,69,3,35,192,150,213,0.227,0.296,0.341,0.982,Catcher
KITTY_BRANSFIELD,12,1330,4999,529,1351,225,75,13,637,221,41,0.27,0.304,0.353,0.983,First_base
DON_PAVLETICH,12,536,1373,163,349,73,8,46,193,148,237,0.254,0.33,0.42,0.983,Catcher
STEVE_KEMP,11,1168,4058,581,1128,179,25,130,634,576,605,0.278,0.37,0.431,0.982,Outfield
JERRY_TURNER,10,733,1742,222,448,73,9,45,238,159,245,0.257,0.322,0.387,0.959,Outfield
WOODY_ENGLISH,12,1261,4746,801,1356,236,52,32,422,571,536,0.286,0.366,0.378,0.957,Shortstop
NORM_CASH,17,2089,6705,1046,1820,241,41,377,1103,1043,1091,0.271,0.377,0.488,0.992,First_base
AL_ZARILLA,10,1120,3535,507,975,186,43,61,456,415,382,0.276,0.357,0.405,0.974,Outfield
RIP_RADCLIFF,10,1081,4074,598,1267,205,50,42,533,310,141,0.311,0.362,0.417,0.967,Outfield
EARL_TORGESON,15,1668,4969,848,1318,215,46,149,740,980,653,0.265,0.387,0.417,0.989,First_base
HAL_NARAGON,10,424,985,83,262,27,11,6,87,76,62,0.266,0.323,0.334,0.991,Catcher
CESAR_GERONIMO,15,1522,3780,460,977,161,50,51,392,354,746,0.258,0.327,0.368,0.988,Outfield
BILLY_ROGELL,14,1482,5149,755,1375,256,75,42,609,649,416,0.267,0.351,0.37,0.956,Shortstop
FRED_JACKLITSCH,13,490,1344,160,327,64,12,5,153,201,100,0.243,0.347,0.32,0.978,Catcher
FREDDIE_PATEK,14,1650,5530,736,1340,216,55,41,490,523,787,0.242,0.311,0.324,0.962,Shortstop
JERRY_REMY,10,1154,4455,605,1226,140,38,7,329,356,404,0.275,0.329,0.328,0.981,Second_base
BENNY_AYALA,10,425,865,114,217,42,1,38,145,71,136,0.251,0.309,0.434,0.958,Outfield
GREG_LUZINSKI,15,1821,6505,880,1795,344,24,307,1128,845,1495,0.276,0.366,0.478,0.972,Outfield
FRED_MERKLE,16,1638,5782,720,1580,290,82,60,733,454,583,0.273,0.331,0.383,0.985,First_base
DERREL_THOMAS,15,1597,4677,585,1163,154,54,43,370,456,593,0.249,0.319,0.332,0.97,Second_base
JIMMY_STEWART,10,777,1420,164,336,45,14,8,112,139,218,0.237,0.308,0.305,0.969,Outfield
BOB_DERNIER,10,904,2483,374,634,92,16,23,152,222,301,0.255,0.318,0.333,0.982,Outfield
MANNY_MOTA,20,1536,3779,496,1149,125,52,31,438,289,320,0.304,0.358,0.389,0.979,Outfield
WILLIE_RANDOLPH,18,2202,8018,1239,2210,316,65,54,687,1243,675,0.276,0.375,0.351,0.98,Second_base
LOU_CRIGER,16,1012,3202,337,709,86,50,11,342,309,0,0.221,0.294,0.29,0.971,Catcher
TOM_HALLER,12,1294,3935,461,1011,153,31,134,504,477,593,0.257,0.342,0.414,0.992,Catcher
GARY_MATTHEWS,16,2033,7147,1083,2011,319,51,234,978,940,1125,0.281,0.367,0.439,0.968,Outfield
SHANTY_HOGAN,13,989,3180,288,939,146,12,61,474,220,188,0.295,0.348,0.406,0.985,Catcher
MICKEY_VERNON,20,2409,8731,1196,2495,490,120,172,1311,955,869,0.286,0.359,0.428,0.99,First_base
BABE_DAHLGREN,12,1137,4045,470,1056,174,37,82,569,390,401,0.261,0.329,0.383,0.99,First_base
JOE_RUDI,16,1547,5556,684,1468,287,39,179,810,369,870,0.264,0.314,0.427,0.991,Outfield
AL_ROSEN,10,1044,3725,603,1063,165,20,192,717,587,385,0.285,0.386,0.495,0.961,Third_base
DUFFY_LEWIS,11,1459,5351,612,1518,289,68,38,793,352,353,0.284,0.333,0.384,0.959,Outfield
FELIX_MANTILLA,11,969,2707,360,707,97,10,89,330,256,352,0.261,0.331,0.403,0.977,Second_base
RALPH_KINER,10,1472,5205,971,1451,216,39,369,1015,1011,749,0.279,0.398,0.548,0.974,Outfield
TONY_CUCCINELLO,15,1704,6184,730,1729,334,46,94,884,579,497,0.28,0.343,0.394,0.973,Second_base
LOU_PINIELLA,18,1747,5867,651,1705,305,41,102,766,368,541,0.291,0.336,0.409,0.981,Outfield
LU_BLUE,13,1615,5904,1151,1696,319,109,44,695,1092,436,0.287,0.402,0.401,0.989,First_base
BOB_BAILOR,11,955,2937,339,775,107,23,9,222,187,164,0.264,0.312,0.325,0.98,Outfield
KEN_LANDREAUX,11,1264,4101,522,1099,180,45,91,479,299,421,0.268,0.321,0.4,0.981,Outfield
EARL_BATTEY,13,1141,3586,393,969,150,17,104,449,421,470,0.27,0.351,0.409,0.99,Catcher
GRADY_HATTON,12,1312,4206,562,1068,166,33,91,533,646,430,0.254,0.355,0.374,0.956,Third_base
ELMER_FLICK,13,1483,5597,948,1752,268,164,48,756,597,0,0.313,0.389,0.445,0.947,Outfield
BILL_DAHLEN,21,2443,9031,1589,2457,413,163,84,1233,1064,269,0.272,0.357,0.382,0.927,Shortstop
ALEX_TREVINO,13,939,2430,245,604,117,10,23,244,205,317,0.249,0.312,0.333,0.979,Catcher
BUCK_MARTINEZ,17,1049,2743,245,618,128,10,58,321,230,419,0.225,0.287,0.343,0.984,Catcher
JIM_HEGAN,17,1666,4772,550,1087,187,46,92,525,456,742,0.228,0.296,0.344,0.99,Catcher
ALEX_GRAMMAS,10,913,2073,236,512,90,10,12,163,206,192,0.247,0.32,0.317,0.968,Shortstop
EDDIE_STANKY,11,1259,4301,811,1154,185,35,29,364,996,374,0.268,0.41,0.348,0.975,Second_base
DAVEY_JOHNSON,13,1435,4797,564,1252,242,18,136,609,559,675,0.261,0.343,0.404,0.98,Second_base
DAVE_FOUTZ,13,1135,4533,784,1253,186,91,31,548,300,136,0.276,0.323,0.378,0.977,First_base
BOB_ALLISON,13,1541,5032,811,1281,216,53,256,796,795,1033,0.255,0.36,0.471,0.975,Outfield
BOB_HORNER,10,1020,3777,560,1047,169,8,218,685,369,512,0.277,0.344,0.499,0.946,Third_base
LEW_FONSECA,12,937,3404,518,1075,203,50,31,485,186,199,0.316,0.355,0.432,0.994,First_base
JACKIE_JENSEN,11,1438,5236,810,1463,259,45,199,929,750,546,0.279,0.372,0.46,0.977,Outfield
GEORGE_PINKNEY,10,1163,4610,874,1212,170,56,21,391,525,135,0.263,0.345,0.338,0.897,Third_base
RON_SANTO,15,2243,8143,1138,2254,365,67,342,1331,1108,1343,0.277,0.366,0.464,0.954,Third_base
JERRY_MAY,10,556,1527,120,357,63,10,15,130,157,293,0.234,0.31,0.318,0.99,Catcher
DICK_GROAT,14,1929,7484,829,2138,352,67,39,707,490,512,0.286,0.332,0.366,0.961,Shortstop
TAYLOR_DOUTHIT,11,1074,4127,665,1201,220,38,29,396,443,312,0.291,0.364,0.384,0.972,Outfield
PHIL_ROOF,15,857,2151,190,463,69,13,43,210,184,504,0.215,0.284,0.319,0.986,Catcher
JIM_OROURKE,19,1774,7435,1446,2304,414,132,50,1010,481,348,0.31,0.355,0.42,0.898,Outfield
RON_CEY,17,2073,7162,977,1868,328,21,316,1139,1012,1235,0.261,0.357,0.445,0.961,Third_base
WAYNE_GROSS,11,1106,3125,373,727,126,9,121,396,482,496,0.233,0.339,0.395,0.941,Third_base
FELIX_MILLAN,12,1480,5791,699,1617,229,38,22,403,318,242,0.279,0.324,0.343,0.98,Second_base
CLYDE_VOLLMER,10,685,2021,283,508,77,10,69,339,243,328,0.251,0.335,0.402,0.984,Outfield
HANK_GREENBERG,13,1394,5193,1051,1628,379,71,331,1276,852,844,0.313,0.412,0.605,0.991,First_base
BOILERYARD_CLARKE,13,950,3346,394,858,111,32,20,429,176,58,0.256,0.311,0.327,0.947,Catcher
JIM_RUSSELL,10,1035,3595,554,959,175,51,67,428,503,427,0.267,0.36,0.4,0.981,Outfield
TOM_KINSLOW,10,380,1414,186,376,40,29,12,222,67,92,0.266,0.301,0.361,0.923,Catcher
JACK_SMITH,15,1406,4532,783,1301,182,71,40,382,334,348,0.287,0.339,0.385,0.961,Outfield
RON_FAIRLY,21,2442,7184,931,1913,307,33,215,1044,1052,877,0.266,0.363,0.408,0.991,First_base
MATTY_ALOU,15,1667,5789,780,1777,236,50,31,427,311,377,0.307,0.346,0.381,0.979,Outfield
DON_MONEY,16,1720,6215,798,1623,302,36,176,729,600,866,0.261,0.33,0.406,0.968,Third_base
AL_BUMBRY,14,1496,5053,778,1422,220,52,54,402,471,709,0.281,0.345,0.378,0.986,Outfield
EARL_SMITH,12,860,2264,225,686,115,19,46,355,247,106,0.303,0.374,0.432,0.952,Catcher
WILLIE_KEELER,19,2123,8591,1719,2932,241,145,33,810,524,36,0.341,0.387,0.415,0.96,Outfield
BABE_PHELPS,11,726,2117,239,657,143,19,54,345,160,157,0.31,0.362,0.472,0.974,Catcher
BARNEY_McCOSKY,11,1170,4172,664,1301,214,71,24,397,497,261,0.312,0.386,0.414,0.984,Outfield
MARK_BELANGER,18,2016,5784,676,1316,175,33,20,389,576,839,0.228,0.302,0.28,0.977,Shortstop
FRED_STANLEY,14,816,1650,197,356,38,5,10,120,196,243,0.216,0.302,0.263,0.971,Shortstop
TOM_PACIOREK,18,1392,4121,494,1162,232,30,86,503,245,704,0.282,0.328,0.415,0.979,Outfield
BOBBY_GRICH,17,2008,6890,1033,1833,320,47,224,864,1087,1278,0.266,0.373,0.424,0.984,Second_base
ED_McFARLAND,14,894,3007,398,826,146,49,13,383,254,19,0.275,0.335,0.369,0.967,Catcher
GENE_DESAUTELS,13,712,2012,211,469,73,11,3,187,232,168,0.233,0.315,0.285,0.989,Catcher
J.C._MARTIN,14,908,2189,189,487,82,12,32,230,201,299,0.222,0.293,0.315,0.987,Catcher
PAUL_CASANOVA,10,859,2786,214,627,87,12,50,252,101,430,0.225,0.254,0.319,0.985,Catcher
HARRY_STOVEY,14,1486,6138,1492,1769,347,174,122,549,661,343,0.288,0.36,0.461,0.896,Outfield
BOB_FOTHERGILL,12,1106,3269,453,1064,225,52,36,582,202,177,0.325,0.368,0.459,0.961,Outfield
CHARLIE_BENNETT,15,1062,3821,549,978,203,67,55,533,478,572,0.256,0.34,0.387,0.942,Catcher
FRANK_TAVERAS,11,1150,4043,503,1029,144,44,2,214,249,474,0.255,0.302,0.313,0.953,Shortstop
THAD_BOSLEY,14,784,1581,183,430,50,12,20,158,143,275,0.272,0.333,0.357,0.972,Outfield
HAL_McRAE,19,2084,7218,940,2091,484,66,191,1097,648,779,0.29,0.355,0.454,0.966,Designated_hitter
ZACK_WHEAT,19,2410,9106,1289,2884,476,172,132,1248,650,559,0.317,0.367,0.45,0.966,Outfield
BOB_BOONE,19,2264,7245,679,1838,303,26,105,826,663,608,0.254,0.318,0.346,0.986,Catcher
AL_SIMMONS,20,2215,8759,1507,2927,539,149,307,1827,615,737,0.334,0.38,0.535,0.982,Outfield
HANK_LEIBER,10,813,2805,410,808,137,24,101,518,274,319,0.288,0.356,0.462,0.973,Outfield
IVEY_WINGO,17,1327,4003,362,1039,147,81,25,455,264,285,0.26,0.307,0.355,0.962,Catcher
JACKIE_ROBINSON,10,1382,4877,947,1518,273,54,137,734,740,291,0.311,0.41,0.474,0.983,Second_base
CLIFF_HEATHCOTE,15,1415,4443,653,1222,206,55,42,448,367,325,0.275,0.333,0.375,0.971,Outfield
PAT_MULLIN,10,864,2493,381,676,106,43,87,385,330,312,0.271,0.358,0.453,0.97,Outfield
IRV_NOREN,11,1093,3119,443,857,157,35,65,453,335,350,0.275,0.349,0.41,0.984,Outfield
MEL_OTT,22,2730,9456,1859,2876,488,72,511,1860,1708,896,0.304,0.414,0.533,0.98,Outfield
HICK_CARPENTER,12,1118,4638,720,1201,142,47,18,204,111,91,0.259,0.281,0.321,0.853,Third_base
JOE_START,11,798,3433,590,1031,107,55,7,357,150,109,0.3,0.33,0.37,0.968,First_base
BOB_STINSON,12,652,1634,166,408,61,7,33,180,201,254,0.25,0.34,0.356,0.984,Catcher
LEO_DUROCHER,17,1637,5350,575,1320,210,56,24,567,377,480,0.247,0.299,0.32,0.961,Shortstop
JOHNNY_ROMANO,10,905,2767,355,706,112,10,129,417,414,485,0.255,0.358,0.443,0.99,Catcher
ZOILO_VERSALLES,12,1400,5141,650,1246,230,63,95,471,318,810,0.242,0.292,0.367,0.956,Shortstop
GUS_SUHR,11,1435,5176,714,1446,288,114,84,818,718,433,0.279,0.368,0.428,0.992,First_base
SAMMY_STRANG,10,903,2933,479,790,112,28,16,253,464,6,0.269,0.376,0.343,0.891,Third_base
EDDIE_WAITKUS,11,1140,4254,528,1214,215,44,24,373,372,204,0.285,0.344,0.374,0.993,First_base
DICK_ALLEN,15,1749,6332,1099,1848,320,79,351,1119,894,1556,0.292,0.381,0.534,0.989,First_base
CHARLEY_SMITH,10,771,2484,228,594,83,18,69,281,130,565,0.239,0.281,0.37,0.945,Third_base
BARNEY_GILLIGAN,10,521,1865,215,386,68,23,3,167,147,235,0.207,0.265,0.273,0.912,Catcher
HUGHIE_JENNINGS,17,1285,4904,994,1527,232,88,18,840,347,117,0.311,0.39,0.406,0.922,Shortstop
ED_ROMERO,12,730,1912,218,473,79,1,8,155,140,159,0.247,0.3,0.302,0.958,Shortstop
OLLIE_BROWN,13,1221,3642,404,964,144,11,102,454,314,616,0.265,0.326,0.394,0.977,Outfield
DARREL_CHANEY,11,915,2113,237,458,75,17,14,190,238,471,0.217,0.297,0.288,0.959,Shortstop
RON_HUNT,12,1483,5235,745,1429,223,23,39,370,555,382,0.273,0.369,0.347,0.976,Second_base
WILLIE_MAYS,22,2992,10881,2062,3283,523,140,660,1903,1464,1526,0.302,0.387,0.557,0.981,Outfield
JIMMY_McALEER,13,1020,3977,619,1006,114,39,12,469,365,290,0.253,0.322,0.31,0.944,Outfield
LEE_TANNEHILL,10,1090,3778,331,833,135,27,3,346,229,0,0.22,0.269,0.273,0.938,Third_base
BARRY_FOOTE,10,687,2127,191,489,103,10,57,230,136,287,0.23,0.279,0.368,0.985,Catcher
BOBBY_WALLACE,25,2383,8618,1057,2309,391,143,34,1121,774,79,0.268,0.331,0.358,0.938,Shortstop
TOM_HERR,13,1514,5349,676,1450,254,41,28,574,627,584,0.271,0.35,0.35,0.989,Second_base
DEACON_WHITE,15,1299,5335,849,1619,217,73,18,756,292,215,0.303,0.344,0.382,0.853,Third_base
DANNY_MURPHY,16,1496,5399,705,1563,289,102,44,702,335,24,0.289,0.336,0.405,0.953,Second_base
CHICK_FEWSTER,11,644,1963,282,506,91,12,6,167,240,264,0.258,0.346,0.326,0.945,Second_base
JIM_PIERSALL,17,1734,5890,811,1604,256,52,104,591,524,583,0.272,0.334,0.386,0.99,Outfield
CY_WILLIAMS,19,2002,6780,1024,1981,306,74,251,1005,690,721,0.292,0.365,0.47,0.973,Outfield
DAVE_RADER,10,846,2405,254,619,107,12,30,235,245,180,0.257,0.329,0.349,0.983,Catcher
BILLY_WERBER,11,1295,5024,875,1363,271,50,78,539,701,363,0.271,0.364,0.392,0.944,Third_base
MAX_BISHOP,12,1338,4494,966,1216,236,35,41,379,1153,452,0.271,0.423,0.366,0.976,Second_base
LARRY_DOYLE,14,1766,6509,960,1887,299,123,74,793,625,274,0.29,0.357,0.408,0.949,Second_base
BEN_OGLIVIE,16,1754,5913,784,1615,277,33,235,901,560,852,0.273,0.34,0.45,0.978,Outfield
HOD_FORD,15,1446,4833,484,1269,200,55,16,494,351,354,0.263,0.316,0.337,0.96,Shortstop
GINGER_BEAUMONT,12,1463,5660,955,1759,182,82,39,617,425,14,0.311,0.362,0.393,0.956,Outfield
RON_KITTLE,10,843,2708,356,648,100,3,176,460,236,744,0.239,0.309,0.473,0.974,Outfield
MARTY_MARION,13,1572,5506,602,1448,272,37,36,624,470,537,0.263,0.323,0.345,0.969,Shortstop
RUBEN_AMARO,11,940,2155,211,505,75,13,8,156,227,280,0.234,0.31,0.292,0.967,Shortstop
BUDDY_LEWIS,11,1349,5261,830,1563,249,93,71,607,573,303,0.297,0.368,0.42,0.927,Third_base
HEINIE_PEITZ,16,1234,4121,532,1117,191,66,16,560,409,76,0.271,0.341,0.361,0.963,Catcher
BILLY_GOODMAN,16,1623,5644,807,1691,299,44,19,591,669,329,0.3,0.377,0.378,0.972,Second_base
BOBBY_DOERR,14,1865,7093,1094,2042,381,89,223,1247,809,608,0.288,0.362,0.461,0.98,Second_base
GEORGE_WOOD,13,1280,5371,965,1467,228,132,68,601,418,547,0.273,0.329,0.403,0.895,Outfield
KEN_BOYER,15,2034,7455,1104,2143,318,68,282,1141,713,1017,0.287,0.351,0.462,0.952,Third_base
PIE_TRAYNOR,17,1941,7559,1183,2416,371,164,58,1273,472,278,0.32,0.362,0.435,0.947,Third_base
BILL_MAZEROSKI,17,2163,7755,769,2016,294,62,138,853,447,706,0.26,0.302,0.367,0.983,Second_base
BILL_BUCKNER,22,2517,9397,1077,2715,498,49,174,1208,450,453,0.289,0.324,0.408,0.992,First_base
JACK_FARRELL,11,884,3613,584,877,148,55,23,370,197,205,0.243,0.283,0.333,0.899,Second_base
JULIAN_JAVIER,13,1622,5722,722,1469,216,55,78,506,314,812,0.257,0.298,0.355,0.972,Second_base
JIM_GANTNER,17,1801,6189,726,1696,262,38,47,568,383,501,0.274,0.322,0.351,0.985,Second_base
GEORGE_McQUINN,12,1550,5747,832,1588,315,64,135,794,712,634,0.276,0.357,0.424,0.992,First_base
SHANO_COLLINS,16,1799,6390,747,1687,310,133,22,709,331,405,0.264,0.306,0.364,0.962,Outfield
DON_ZIMMER,12,1095,3283,353,773,130,22,91,352,246,678,0.235,0.291,0.372,0.941,Third_base
TED_KUBIAK,10,977,2447,238,565,61,21,13,202,271,272,0.231,0.309,0.289,0.981,Second_base
EDDIE_FOSTER,13,1500,5652,732,1490,191,71,6,451,528,255,0.264,0.329,0.326,0.93,Third_base
ED_McKEAN,13,1654,6890,1227,2083,272,158,66,1070,635,157,0.302,0.364,0.416,0.9,Shortstop
HOOT_EVERS,12,1142,3801,556,1055,187,41,98,565,415,420,0.278,0.353,0.426,0.983,Outfield
MIKE_JORGENSEN,17,1633,3421,429,833,132,13,95,426,532,589,0.243,0.349,0.373,0.994,First_base
WILLIE_UPSHAW,10,1264,4203,596,1103,199,45,123,528,452,642,0.262,0.337,0.419,0.99,First_base
TIM_FLANNERY,11,972,2473,255,631,77,25,9,209,277,293,0.255,0.338,0.317,0.982,Second_base
