budget,original_title,popularity,revenue,runtime,status,vote_average,vote_count
0,Mr. Wrong,3.329264,0,96,Released,3.3,16
18000000,Unforgettable,2.464425,0,106,Released,5.3,22
12000000,Happy Gilmore,9.592265,41205099,92,Released,6.5,767
24000000,The Bridges of Madison County,5.951077,182016617,135,Released,7.3,397
0,Keiner liebt mich,1.015068,0,104,Released,5.1,5
0,Muppet Treasure Island,6.902423,34327391,100,Released,6.5,93
0,Catwalk,0.976707,0,95,Released,7,2
0,Headless Body in Topless Bar,0.001346,0,110,Released,0,0
72000000,Braveheart,20.755149,210000000,177,Released,7.7,3404
1300000,Taxi Driver,14.092713,28262574,114,Released,8.1,2632
7500000,紅番區,12.314278,32392047,91,Released,6.5,245
35000000,Before and After,2.938293,0,108,Released,5.8,37
0,Margaret's Museum,0.372697,0,114,Released,7.5,2
13365000,Le Bonheur est dans le pré,1.254885,0,106,Released,7,23
0,Anne Frank Remembered,0.243986,1,117,Released,7.3,4
0,The Young Poisoner's Handbook,6.178497,0,99,Released,6.9,19
0,If Lucy Fell,2.891918,0,92,Released,5.4,11
25000000,Steal Big Steal Little,1.522412,6278139,113,Released,5.1,7
0,Race the Sun,1.317878,0,100,Released,5.2,21
0,The Boys of St. Vincent,0.86539,0,90,Released,7,7
40000000,Boomerang,6.506983,70100000,117,Released,5.4,139
0,重慶森林,6.778979,0,102,Released,7.9,249
0,L'uomo delle stelle,1.702639,0,113,Released,6.8,29
7000000,Flirting with Disaster,5.579088,14702438,92,Released,6.3,66
17000000,The NeverEnding Story III,6.252377,0,95,Released,4.4,105
0,صمت القصور,0.406754,0,116,Released,4.3,3
0,Jupiter's Wife,0.001178,0,87,Released,0,0
0,Pie in the Sky,0.699066,0,95,Released,7,2
0,Angela,2.197439,0,99,Released,5.6,9
0,Frankie Starlight,0.637554,0,101,Released,5.4,4
50000000,Jade,11.418917,9851610,95,Released,5.1,45
0,Nueba Yol,0.291021,0,102,Released,5.5,1
0,Sonic Outlaws,0.001838,0,87,Released,0,0
0,Down Periscope,5.184977,0,92,Released,5.6,110
0,From the Journals of Jean Seberg,0.276401,0,97,Released,6.5,2
0,Man of the Year,0.540436,209935,86,Released,3.8,2
0,The Neon Bible,0.370342,0,91,Released,7.2,5
0,Target,0.001205,0,122,Released,0,0
60000000,Up Close & Personal,3.402749,0,119,Released,5.9,51
31000000,The Birdcage,6.49968,185260553,117,Released,6.7,303
0,Gospa,0.918504,0,125,Released,7,2
0,The Brothers McMullen,2.039196,0,98,Released,6.3,23
19000000,Bad Boys,9.262184,141407024,118,Released,6.5,1729
0,The Amazing Panda Adventure,2.375865,0,81,Released,5,31
0,The Basketball Diaries,7.415144,0,102,Released,7.2,472
4000000,An Awfully Big Adventure,0.922958,851545,113,Released,6,11
0,Amateur,1.759012,0,105,Released,6.5,21
52000000,Apollo 13,18.761467,355237933,140,Released,7.3,1637
28000000,Rob Roy,10.193549,31596911,139,Released,6.5,151
0,The Addiction,3.137285,0,82,Released,6.4,46
100000000,Batman Forever,13.321354,336529144,121,Released,5.2,1529
0,Belle de jour,10.142662,0,101,Released,7.3,163
0,Beyond Rangoon,2.04189,0,100,Released,6.4,21
2000000,Blue in the Face,11.528147,1275000,83,Released,6.8,28
11000000,Canadian Bacon,5.391556,178104,91,Released,5.9,57
50000000,Casper,12.812539,287928194,100,Released,6,1045
25000000,Clockers,4.558992,13071518,128,Released,6.8,69
50000000,Congo,7.260574,152022101,109,Released,5,214
53000000,Crimson Tide,8.657365,157387195,116,Released,7,508
0,Crumb,3.620388,3174695,119,Released,7.6,71
7000000,Desperado,6.950458,25405445,104,Released,6.8,898
27000000,Devil in a Blue Dress,4.646132,16140822,102,Released,6.3,88
90000000,Die Hard: With a Vengeance,15.138855,366101666,128,Released,6.9,2094
0,The Doom Generation,7.120806,0,80,Released,5.6,57
0,Feast of July,0.523575,0,116,Released,0,0
55000000,First Knight,15.178338,127600435,134,Released,5.9,319
0,Free Willy 2 - The Adventure Home,7.575098,0,95,Released,5.5,130
20000000,Hackers,14.810519,7563728,107,Released,6.2,406
0,Jeffrey,3.196456,0,92,Released,6.5,19
25000000,Johnny Mnemonic,11.715868,19075720,97,Released,5.5,380
90000000,Judge Dredd,8.184815,113493481,96,Released,5.4,643
0,Jury Duty,3.676921,17014653,88,Released,4,34
1500000,Kids,4.877872,7412216,91,Released,6.8,280
500000,Living in Oblivion,10.058329,1148752,89,Released,7.2,64
0,Lord of Illusions,4.102409,0,119,Released,5.9,87
0,Love & Human Remains,0.354014,0,100,Released,7,7
0,Mad Love,2.624771,15453274,95,Released,5.5,27
6000000,Mallrats,8.25547,2122561,94,Released,6.8,400
15000000,Mighty Morphin Power Rangers: The Movie,7.024227,66000000,92,Released,5.2,153
0,Moonlight and Valentino,1.01115,0,100,Released,5.6,10
2,Mute Witness,2.466066,1,95,Released,6.4,36
0,Nadja,7.720056,0,93,Released,5.9,12
22000000,The Net,13.304342,110627965,114,Released,5.6,359
0,Nine Months,8.482834,69660733,103,Released,5.5,171
150000,Party Girl,1.165039,472370,94,Released,5.8,14
8,The Prophecy,10.187623,16,98,Released,6.4,139
0,Reckless,0.119713,0,91,Released,10,1
0,Safe,8.180047,0,119,Released,7.2,62
50000000,The Scarlet Letter,6.752119,10382407,135,Released,5.5,111
0,The Show,0.159596,0,93,,5.3,2
45000000,Showgirls,17.502375,20350754,128,Released,4.9,261
7000000,Smoke,5.552946,8349430,112,Released,7.2,115
0,Something to Talk About,3.743212,50892160,106,Released,5.7,60
35000000,Species,13.492845,113374103,108,Released,5.5,457
0,The Stars Fell on Henrietta,0.913522,0,109,Released,6.6,6
42000000,Strange Days,11.223055,7959291,145,Released,6.8,334
0,Les parapluies de Cherbourg,8.133881,0,91,Released,7.6,119
14000000,The Tie That Binds,1.820419,5780000,99,Released,4.6,9
0,Three Wishes,11.002046,7025496,115,Released,6.1,18
